       relname        |        parent        
----------------------+----------------------
 CalendarConfigCache  | 
 Class                | 
 Map                  | 
 SimpleClass          | 
 GenericAccMov        | AccountingMov
 LabourAccMov         | AccountingMov
 MaterialAccMov       | AccountingMov
 Process              | Activity
 Device               | Asset
 Finishing            | Asset
 Item                 | Asset
 Machinery            | Asset
 StructuralElement    | Asset
 AccessControlDevice  | BurglarDevice
 Barrier              | BurglarDevice
 CommandUnit          | BurglarDevice
 ControlUnit          | BurglarDevice
 DoorWindowSensor     | BurglarDevice
 MotionSensor         | BurglarDevice
 Siren                | BurglarDevice
 SurveillanceDevice   | BurglarDevice
 Asset                | CI
 Equipment            | CI
 OutdoorElement       | CI
 SystemPlant          | CI
 CalendarChgCI        | CalendarChange
 CalendarChgDefault   | CalendarChange
 CalendarChgEmployee  | CalendarChange
 CalendarChgSite      | CalendarChange
 CalendarChgTeam      | CalendarChange
 CalendarChange       | CalendarConfig
 CalendarEvent        | CalendarConfig
 CalendarMapping      | CalendarConfig
 CalendarChangeCache  | CalendarConfigCache
 CalendarEventCache   | CalendarConfigCache
 CalendarMappingCache | CalendarConfigCache
 CalendarMapCI        | CalendarMapping
 CalendarMapDefault   | CalendarMapping
 CalendarMapEmployee  | CalendarMapping
 CalendarMapSite      | CalendarMapping
 CalendarMapTeam      | CalendarMapping
 AccountingMov        | Class
 Activity             | Class
 Budget               | Class
 BudgetCenter         | Class
 BudgetItem           | Class
 CI                   | Class
 CISubset             | Class
 CalendarConfig       | Class
 CalendarEntity       | Class
 Company              | Class
 Consumable           | Class
 Contract             | Class
 CorrectMaintConfig   | Class
 Dimensions           | Class
 DmsModel             | Class
 Email                | Class
 Employee             | Class
 Invoice              | Class
 LookUp               | Class
 MaintCategory        | Class
 MaintSLA             | Class
 MaintSubcategory     | Class
 MaintenanceManual    | Class
 ModbusConfig         | Class
 NewsItem             | Class
 Parameter            | Class
 PartitionTable       | Class
 PartitionTableRow    | Class
 PrevMaintConfig      | Class
 PrevMaintDef         | Class
 PrevMaintTask        | Class
 PrevMaintTasks       | Class
 PriceList            | Class
 PriceListEntry       | Class
 PurchaseOrder        | Class
 PurchaseOrderRow     | Class
 Role                 | Class
 Site                 | Class
 Survey               | Class
 Team                 | Class
 Topic                | Class
 User                 | Class
 WrhMovement          | Class
 WrhMovementRow       | Class
 AirHandlingUnit      | ClimateControlDevice
 Boiler               | ClimateControlDevice
 Chiller              | ClimateControlDevice
 CoolingTower         | ClimateControlDevice
 FanCoil              | ClimateControlDevice
 HeatPump             | ClimateControlDevice
 Radiator             | ClimateControlDevice
 SolarThermal         | ClimateControlDevice
 Split                | ClimateControlDevice
 WaterHeater          | ClimateControlDevice
 CorporateGroup       | Company
 Customer             | Company
 Supplier             | Company
 PurchAgreement       | Contract
 Rent                 | Contract
 ServiceProvision     | Contract
 Utility              | Contract
 HandlingDevice       | ConveyorDevice
 LiftingDevice        | ConveyorDevice
 MovementDevice       | ConveyorDevice
 BurglarDevice        | Device
 ClimateControlDevice | Device
 ConveyorDevice       | Device
 DisposalDevice       | Device
 ElectricalDevice     | Device
 FireProtectionDevice | Device
 GasDistroDevice      | Device
 HealthSafetyDevice   | Device
 MechanicalDevice     | Device
 SanitationDevice     | Device
 TLCDevice            | Device
 GasDisposal          | DisposalDevice
 SolidDisposal        | DisposalDevice
 WaterDisposal        | DisposalDevice
 BaseDocument         | DmsModel
 DmsEnergyPerformCert | DmsModel
 AuxiliaryPowerSupply | ElectricalDevice
 Disconnector         | ElectricalDevice
 ElectricalPanel      | ElectricalDevice
 Generator            | ElectricalDevice
 Grounding            | ElectricalDevice
 LightingFixture      | ElectricalDevice
 PFC                  | ElectricalDevice
 PowerSubstation      | ElectricalDevice
 StandbyPower         | ElectricalDevice
 Transformer          | ElectricalDevice
 CustomerEmployee     | Employee
 ExternalEmployee     | Employee
 InternalEmployee     | Employee
 SupplierEmployee     | Employee
 Fixture              | Finishing
 Furniture            | Finishing
 Staircase            | Finishing
 Alarm                | FireProtectionDevice
 Detector             | FireProtectionDevice
 EmergencyLightingDev | FireProtectionDevice
 Evacuator            | FireProtectionDevice
 FireExtinguisher     | FireProtectionDevice
 FireHoseReel         | FireProtectionDevice
 FireHydrant          | FireProtectionDevice
 FirePartition        | FireProtectionDevice
 ReleaseButton        | FireProtectionDevice
 Sprinkler            | FireProtectionDevice
 Accessory            | Furniture
 Bed                  | Furniture
 Decor                | Furniture
 Seat                 | Furniture
 SupportSurface       | Furniture
 Compressor           | GasDistroDevice
 TechnicalGasSupply   | GasDistroDevice
 GreenArea            | Greenery
 Vegetation           | Greenery
 MedicalDevice        | HealthSafetyDevice
 PPEDevice            | HealthSafetyDevice
 Component            | Item
 Meter                | Item
 Sensor               | Item
 Apparatus            | Machinery
 ProductionMachinery  | Machinery
 CorrectiveMaint      | MaintProcess
 PreventiveMaint      | MaintProcess
 Drill                | MechanicalDevice
 GrindingMachine      | MechanicalDevice
 Lathe                | MechanicalDevice
 MarkingMachine       | MechanicalDevice
 MillingMachine       | MechanicalDevice
 PartsWasher          | MechanicalDevice
 SawingMachine        | MechanicalDevice
 Sharpener            | MechanicalDevice
 Shredder             | MechanicalDevice
 WeldingMachine       | MechanicalDevice
 Greenery             | OutdoorElement
 UrbanInfrastructure  | OutdoorElement
 ManufacturingPlant   | Plant
 LabourPriceList      | PriceListEntry
 MaterialPriceList    | PriceListEntry
 MaintProcess         | Process
 Artifact             | RoadAsset
 Tunnel               | RoadAsset
 Bathtub              | SanitationDevice
 Shower               | SanitationDevice
 Sink                 | SanitationDevice
 Toilet               | SanitationDevice
 WaterPump            | SanitationDevice
 Consumption          | SimpleClass
 MeterReading         | SimpleClass
 PortalSession        | SimpleClass
 ProcessFlowLog       | SimpleClass
 Building             | Site
 Complex              | Site
 Floor                | Site
 Room                 | Site
 Unit                 | Site
 ArchitecturalElement | StructuralElement
 Construction         | StructuralElement
 Slab                 | StructuralElement
 Wall                 | StructuralElement
 BurglarSystem        | System
 ClimateControlSystem | System
 ConveyorSystem       | System
 DisposalSystem       | System
 ElectricalSystem     | System
 FireProtectionSystem | System
 GasDistroSystem      | System
 GroundingSystem      | System
 MechanicalSystem     | System
 SanitationSystem     | System
 TLCSystem            | System
 Plant                | SystemPlant
 System               | SystemPlant
 Computer             | TLCDevice
 FixedTelephony       | TLCDevice
 MobileTelephony      | TLCDevice
 Network              | TLCDevice
 Peripheral           | TLCDevice
 Server               | TLCDevice
 ParkingLot           | UrbanInfrastructure
 RoadAsset            | UrbanInfrastructure
 Signage              | UrbanInfrastructure
(224 rows)

